"Login to get points","Login เพื่อสะสมแต้ม"
"Login","เข้าสู่ระบบ"
"Create an Account","สร้างบัญชี"
"Continue as guest","ซื้อแบบไม่สมัครสมาชิก"
"New Address","ที่อยู่ใหม่"
"Company","ชื่อบริษัท"
"Address","ที่อยู่"
"Address %d","ที่อยู่ %d"
"City","เขต/อำเภอ"
"State/Province","จังหวัด"
"Country","ประเทศ"
"Telephone","เบอร์โทรศัพท์"
"Fax","โทรสาร"
"Save in address book","บันทึกที่อยู่ในระบบ"
"Submit","ยืนยัน"
"View Shopping Cart","ดูสินค้าในตะกร้า"
"Checkout","ชำระเงิน"
"Create new account","สรัางบัญชีใหม่"
"Zip/Postal Code","รหัสไปรษณีย์"
"Address Book","ที่อยู่ในข้อมูล"
"Cart Subtotal:","ยอดรวมสินค้าในตะกร้า:"
"VAT Number","เลขประจำตัวผู้เสียภาษี"
"Apply Coupon","นำคูปองไปใช้"
