"Points","Reward points"
"Reward points","Reward points"
"You have %d point(s) available","You have %d point(s) available"
"To get a discount you need at least %d points","To get a discount you need at least %d points"
"Enter quantity of credit you want to use.","Enter quantity of credit you want to use."
"%d points","%d points"
"Apply Points","Apply Points"
"Apply points","Apply points"
"You are currently using %d point(s) of your %d point(s) available","You are currently using %d point(s) of your %d point(s) available"
"Remove Points","Remove Points"
"Not enough points available.","Not enough points available."
"The minimum required points is not reached","The minimum required points is not reached"
"Amount of points wrongly used","Amount of points wrongly used"
"Your Points","Your Points"
"Total Accumulated Points","Total Accumulated Points"
"Total Points Spent","Total Points Spent"
"Points waiting for validation","Points waiting for validation"
"Your cart amount has not reached the minimum required points","Your cart amount has not reached the minimum required points"
"%s points required","ใช้คะแนนในการสั่งซื้อ %s คะแนน"
"Hide details","ซ่อน"
"Show details","เพิ่มเติม"
"This shopping cart is worth %s loyalty point(s).","การสั่งซื้อครั้งนี้ คุณจะได้รับคะแนนสะสม </br> จำนวน <span id='j2t-pts' class='blue-text'>%s</span> คะแนน"
"You are currently using %d point(s) of your %d loyalty point(s) available.","คุณต้องการใช้คะแนนสะสมในการซื้อสินค้า จำนวน <span id='j2t-pts' class='blue-text'>%d</span> คะแนน จากคะแนนทั้งหมด <span id='j2t-pts' class='blue-text'>%s</span> คะแนน"
"You have %d loyalty point(s) available.","คุณมีคะแนนสะสมจำนวน <span id='j2t-pts' class='blue-text'>%s</span> คะแนน ที่สามารถใช้ได้"
"Required points","คะแนนที่ต้องการ"
"To validate this order, you need %s points.","ในการสั่งซื้อสินค้านี้, คุณต้องมีคะแนนสะสมในการสั่งซื้อ จำนวน %s คะแนน"
"%s points will be automatically used when your order will be submitted.","คะแนนสะสมของคุณ จำนวน %s คะแนน จะถูกใชโดยอัตโนมัติเมื่อคุณกดยืนยันการชำระเงิน"
"Product Name","ชื่อสินค้า"
"%s points","%s คะแนน"
"Reward points","คะแนนสะสม"
"read more","รายละเอียดคะแนน"
"read cond","เงื่อนไขการได้รับคะแนน"
"Back Order","Pre-Order"
"* Required Fields","ฟิลด์นี้จำเป็น"
"With this product, you earn <span id='j2t-pts' class='blue-text'>%s</span> loyalty point(s).","คะแนนที่ได้รับ <span id='j2t-pts' class='blue-text'>%s</span> คะแนน"
"With this product, you earn","สินค้านี้จะได้รับคะแนนสะสม"
"loyalty point(s).","คะแนน"
"Edit","แก้ไข"
"Apply Points","ใช้คะแนนสะสม"
"Remove Points","ยกเลิกการใช้คะแนนสะสม"
"%s points used","คะแนนสะสม %s คะแนน"
"With this product, you earn <span id='j2t-pts' class='blue-text'>%s</span> loyalty point(s).","คะแนนที่ได้รับ <span id='j2t-pts' class='blue-text'>%s</span> คะแนน"
"Reward points / Store Credit","คะแนนสะสม / เครดิต"
"Referred Friends","แนะนำเพื่อน"
"No.","ลำดับ"
"Obtention date","วันที่ได้รับคะแนน"
"Type of point","ที่มาของคะแนน"
"Points added","ได้รับคะแนน"
"Order: %s","เลขที่คำสั่งซื้อ: %s"
"Modified On","วันที่ได้รับเครดิต"
"Comment","ที่มาของเครดิต"
"Balance Change","จำนวนเครดิตที่ได้รับ"
"Name","ชื่อเพื่อน"
"Email","อีเมล์"
"Share with the following","Copy ลิงค์ด้านล่างให้เพื่อนที่ต้องการแนะนำ"
"You tried to use %s loyalty points, but you can use a minimum of %s points per shopping cart.","คุณไม่สามารถใช้คะแนน %s คะแนนในการแลกซื้อ, คุณต้องการใช้คะแนนขั้นต่ำ %s คะแนนในการแลกซื้อ."
"To get a discount you need at least %d loyalty point(s).","คุณต้องการใช้คะแนนขั้นต่ำ %d คะแนนในการแลกซื้อ"
"Required points for this order not met. %s points is required, but you have %s point(s) left.","ต้องการคะแนนสะสมในการสั่งซื้อจำนวน %s คะแนน คุณมีคะแนนสะสม %s คะแนน"
"Total price: ","ราคารวม  "
" Amount save : ","ประหยัดทันที  "
"You don't have any recorded points.","คุณยังไม่มีคะแนนสะสม"
"No store credit transactions found","คุณยังไม่มีเครดิต"
"Balance History","ประวัติเครดิต"
"%s point,","%s คะแนน    "
" %s credit","    %s เครดิต"
"Valid until","วันหมดอายุ"
"Points used","คะแนนที่ใช้ไป"
"Order state: %s","สถานะการสั่งซื้อ: %s"
"new","คำสั่งซื้อใหม่"
"canceled","ยกเลิก"
"Store input %s","คะแนนจากระบบ"
"Invite a friend","แนะนำเพื่อน"
"processing","ชำระเงินเรียบร้อยแล้ว"
"pending","กำลังตรวจสอบ"
"Points used on products for order %s","คะแนนที่ใช้ไปจาการซื้อสินค้า เลขที่คำสั่งซื้อ: %s"


"Added by admin: %s.","เพิ่มจากระบบ: %s."
"No comments left","xxx"
